Created Date,Complaint Type,Borough,count
2011/05/29,electric,BRONX,3
2011/05/30,electric,BRONX,14
2011/05/31,electric,BRONX,15
2011/06/01,electric,BRONX,25
2011/06/02,electric,BRONX,11
2011/06/03,electric,BRONX,12
2011/06/04,electric,BRONX,8
2011/06/05,electric,BRONX,1
2011/06/06,electric,BRONX,18
2011/06/07,electric,BRONX,17
2011/06/08,electric,BRONX,24
2011/06/09,electric,BRONX,35
2011/06/10,electric,BRONX,8
2011/06/11,electric,BRONX,4
2011/06/12,electric,BRONX,11
2011/06/13,electric,BRONX,16
2011/06/14,electric,BRONX,15
2011/06/15,electric,BRONX,17
2011/06/16,electric,BRONX,13
2011/06/17,electric,BRONX,20
2011/06/18,electric,BRONX,15
2011/06/19,electric,BRONX,5
2011/06/20,electric,BRONX,29
2011/06/21,electric,BRONX,37
2011/06/22,electric,BRONX,29
2011/06/23,electric,BRONX,28
2011/06/24,electric,BRONX,23
2011/06/25,electric,BRONX,17
2011/06/26,electric,BRONX,5
2011/06/27,electric,BRONX,21
2011/06/28,electric,BRONX,30
2011/06/29,electric,BRONX,30
2011/06/30,electric,BRONX,38
2011/07/01,electric,BRONX,17
2011/07/02,electric,BRONX,8
2011/07/03,electric,BRONX,13
2011/07/04,electric,BRONX,11
2011/07/05,electric,BRONX,32
2011/07/06,electric,BRONX,38
2011/07/07,electric,BRONX,47
2011/07/08,electric,BRONX,42
2011/07/09,electric,BRONX,9
2011/07/10,electric,BRONX,10
2011/07/11,electric,BRONX,48
2011/07/12,electric,BRONX,52
2011/07/13,electric,BRONX,36
2011/07/14,electric,BRONX,36
2011/07/15,electric,BRONX,31
2011/07/16,electric,BRONX,12
2011/07/17,electric,BRONX,15
2011/07/18,electric,BRONX,39
2011/07/19,electric,BRONX,62
2011/07/20,electric,BRONX,48
2011/07/21,electric,BRONX,59
2011/07/22,electric,BRONX,71
2011/07/23,electric,BRONX,57
2011/07/24,electric,BRONX,21
2011/07/25,electric,BRONX,55
2011/07/26,electric,BRONX,41
2011/07/27,electric,BRONX,46
2011/07/28,electric,BRONX,32
2011/07/29,electric,BRONX,38
2011/07/30,electric,BRONX,17
2011/07/31,electric,BRONX,12
2011/08/01,electric,BRONX,42
2011/08/02,electric,BRONX,38
2011/08/03,electric,BRONX,25
2011/08/04,electric,BRONX,39
